UN,orientation,year,NAME,n
643,l,2009,Russia,114
643,k,2010,Russia,227
643,l,2006,Russia,157
643,k,2007,Russia,418
586,k,2011,Pakistan,1
826,l,2005,United Kingdom,6
384,l,2012,Cote d'Ivoire,1
566,k,2009,Nigeria,1
566,l,2007,Nigeria,2
566,k,2013,Nigeria,3
268,l,2008,Georgia,63
268,k,2006,Georgia,34
268,l,2004,Georgia,60
268,k,2008,Georgia,179
250,l,2007,France,5
250,k,2006,France,16
250,l,2008,France,5
250,k,2012,France,16
36,l,2010,Australia,5
36,k,2004,Australia,11
36,l,2007,Australia,2
36,k,2009,Australia,9
40,l,2009,Austria,6
40,k,2006,Austria,5
40,l,2005,Austria,15
40,k,2004,Austria,6
356,l,2007,India,3
356,k,2013,India,4
887,k,2007,Yemen,1
887,l,2011,Yemen,11
887,k,2010,Yemen,1
434,k,2011,Libyan Arab Jamahiriya,6
643,k,2008,Russia,407
643,l,2007,Russia,121
643,l,2010,Russia,153
643,l,2012,Russia,239
31,l,2008,Azerbaijan,7
31,k,2004,Azerbaijan,7
31,l,2005,Azerbaijan,3
31,k,2011,Azerbaijan,11
643,l,2011,Russia,132
840,l,2010,United States,20
840,k,2010,United States,17
840,l,2008,United States,24
840,k,2007,United States,8
400,k,2009,Jordan,1
643,k,2012,Russia,182
804,k,2006,Ukraine,53
804,l,2010,Ukraine,39
804,k,2004,Ukraine,32
276,l,2010,Germany,10
276,k,2010,Germany,18
276,l,2006,Germany,7
840,l,2009,United States,14
840,k,2004,United States,28
840,l,2005,United States,11
840,k,2009,United States,87
643,k,2009,Russia,175
643,k,2005,Russia,169
398,l,2012,Kazakhstan,2
398,k,2011,Kazakhstan,8
398,l,2007,Kazakhstan,5
398,l,2005,Kazakhstan,11
398,k,2010,Kazakhstan,7
398,l,2011,Kazakhstan,6
840,l,2006,United States,13
840,k,2012,United States,31
840,l,2012,United States,99
840,k,2005,United States,13
51,k,2005,Armenia,1
643,l,2008,Russia,132
643,l,2004,Russia,172
148,k,2004,Chad,2
8,l,2007,Albania,4
8,k,2012,Albania,1
8,k,2010,Albania,1
643,k,2013,Russia,29
643,k,2004,Russia,287
643,k,2011,Russia,126
643,l,2003,Russia,98
724,k,2008,Spain,7
724,l,2012,Spain,6
724,k,2011,Spain,8
398,k,2006,Kazakhstan,2
398,k,2003,Kazakhstan,11
643,l,2005,Russia,148
804,l,2004,Ukraine,66
804,k,2008,Ukraine,35
804,l,2003,Ukraine,15
804,k,2007,Ukraine,27
804,k,2003,Ukraine,15
840,l,2011,United States,15
840,k,2013,United States,17
840,l,2003,United States,17
840,k,2011,United States,22
840,l,2007,United States,33
840,k,2003,United States,169
840,l,2004,United States,40
400,l,2005,Jordan,2
400,k,2005,Jordan,1
400,k,2003,Jordan,1
528,l,2011,Netherlands,2
528,k,2008,Netherlands,5
528,l,2010,Netherlands,3
528,k,2005,Netherlands,5
762,k,2003,Tajikistan,1
762,k,2009,Tajikistan,1
643,k,2003,Russia,272
250,k,2007,France,25
804,l,2006,Ukraine,12
804,k,2012,Ukraine,27
250,l,2003,France,11
250,k,2008,France,30
250,k,2011,France,39
826,l,2007,United Kingdom,17
826,k,2007,United Kingdom,25
826,l,2009,United Kingdom,16
826,k,2012,United Kingdom,44
24,l,2012,Angola,1
24,k,2011,Angola,2
24,l,2008,Angola,3
24,k,2004,Angola,1
860,l,2005,Uzbekistan,35
860,k,2008,Uzbekistan,6
860,l,2007,Uzbekistan,3
860,k,2006,Uzbekistan,6
724,l,2003,Spain,4
724,k,2006,Spain,6
724,l,2008,Spain,9
724,k,2012,Spain,12
643,k,2006,Russia,196
792,l,2006,Turkey,4
792,k,2013,Turkey,3
792,l,2010,Turkey,1
792,k,2008,Turkey,5
792,l,2005,Turkey,4
792,k,2006,Turkey,5
792,k,2004,Turkey,3
450,l,2005,Madagascar,2
10,l,2010,Antarctica,1
10,k,2006,Antarctica,2
10,l,2007,Antarctica,4
10,k,2012,Antarctica,2
10,k,2003,Antarctica,1
380,l,2007,Italy,4
380,k,2008,Italy,12
380,k,2013,Italy,7
643,l,2013,Russia,49
380,k,2006,Italy,23
724,l,2007,Spain,5
724,k,2009,Spain,4
376,l,2012,Israel,3
376,k,2012,Israel,2
792,k,2009,Turkey,1
32,l,2008,Argentina,5
32,k,2004,Argentina,5
32,l,2010,Argentina,2
32,k,2005,Argentina,2
840,l,2013,United States,3
840,k,2008,United States,134
398,k,2009,Kazakhstan,13
840,k,2006,United States,37
250,l,2011,France,8
250,k,2009,France,9
51,l,2012,Armenia,3
51,k,2012,Armenia,10
51,l,2008,Armenia,6
51,k,2008,Armenia,15
356,l,2011,India,4
356,k,2009,India,7
356,k,2005,India,6
818,l,2008,Egypt,2
818,l,2012,Egypt,1
818,k,2003,Egypt,4
600,k,2007,Paraguay,1
616,l,2012,Poland,7
616,k,2006,Poland,1
616,l,2010,Poland,8
616,k,2013,Poland,1
231,k,2009,Ethiopia,2
231,l,2010,Ethiopia,1
4,l,2012,Afghanistan,8
4,k,2004,Afghanistan,11
4,l,2013,Afghanistan,4
4,k,2009,Afghanistan,23
268,l,2009,Georgia,31
376,k,2007,Israel,1
376,l,2010,Israel,2
795,l,2003,Turkmenistan,7
795,k,2004,Turkmenistan,2
795,k,2005,Turkmenistan,2
276,l,2005,Germany,11
276,k,2009,Germany,21
276,k,2008,Germany,9
44,l,2005,Bahamas,2
44,k,2007,Bahamas,2
44,k,2006,Bahamas,1
368,l,2004,Iraq,8
368,k,2003,Iraq,173
368,l,2003,Iraq,28
4,k,2010,Afghanistan,4
4,k,2013,Afghanistan,2
40,l,2006,Austria,1
40,k,2005,Austria,9
756,l,2012,Switzerland,4
756,k,2004,Switzerland,11
756,l,2004,Switzerland,3
756,k,2003,Switzerland,3
