"","UN","orientation","n"
"1",4,"k",45
"2",4,"l",17
"3",8,"k",13
"4",8,"l",10
"5",10,"k",5
"6",10,"l",5
"7",12,"k",8
"8",12,"l",11
"9",24,"k",4
"10",24,"l",4
"11",31,"k",27
"12",31,"l",19
"13",32,"k",9
"14",32,"l",9
"15",36,"k",29
"16",36,"l",20
"17",40,"k",43
"18",40,"l",40
"19",44,"k",3
"20",44,"l",2
"21",50,"k",4
"22",50,"l",2
"23",51,"k",31
"24",51,"l",14
"25",52,"k",3
"26",52,"l",2
"27",56,"k",15
"28",56,"l",8
"29",64,"k",3
"30",64,"l",3
"31",68,"k",3
"32",68,"l",6
"33",70,"k",2
"34",70,"l",2
"35",72,"k",5
"36",72,"l",4
"37",76,"k",6
"38",76,"l",7
"39",84,"k",1
"40",84,"l",2
"41",96,"k",2
"42",96,"l",2
"43",100,"k",30
"44",100,"l",14
"45",104,"k",5
"46",104,"l",7
"47",108,"k",2
"48",108,"l",2
"49",112,"k",198
"50",112,"l",82
"51",116,"k",8
"52",116,"l",5
"53",120,"k",3
"54",120,"l",2
"55",124,"k",49
"56",124,"l",34
"57",148,"k",9
"58",148,"l",3
"59",152,"k",9
"60",152,"l",9
"61",156,"k",143
"62",156,"l",94
"63",158,"k",6
"64",158,"l",7
"65",170,"k",6
"66",170,"l",6
"67",178,"k",11
"68",178,"l",3
"69",180,"k",1
"70",180,"l",2
"71",191,"k",13
"72",191,"l",10
"73",192,"k",2
"74",192,"l",6
"75",196,"k",14
"76",196,"l",10
"77",203,"k",26
"78",203,"l",21
"79",204,"k",4
"80",204,"l",1
"81",208,"k",2
"82",208,"l",1
"83",212,"k",6
"84",212,"l",3
"85",218,"k",5
"86",218,"l",5
"87",231,"k",8
"88",231,"l",6
"89",232,"k",2
"90",232,"l",2
"91",233,"k",32
"92",233,"l",16
"93",242,"k",1
"94",242,"l",2
"95",246,"k",25
"96",246,"l",20
"97",250,"k",205
"98",250,"l",100
"99",266,"k",2
"100",266,"l",2
"101",268,"k",336
"102",268,"l",214
"103",270,"k",1
"104",270,"l",1
"105",276,"k",194
"106",276,"l",134
"107",288,"k",4
"108",288,"l",2
"109",300,"k",21
"110",300,"l",23
"111",304,"k",3
"112",304,"l",5
"113",324,"k",4
"114",324,"l",2
"115",328,"k",1
"116",328,"l",1
"117",332,"k",5
"118",332,"l",3
"119",336,"k",3
"120",336,"l",3
"121",340,"k",2
"122",340,"l",4
"123",348,"k",18
"124",348,"l",10
"125",352,"k",7
"126",352,"l",7
"127",356,"k",50
"128",356,"l",44
"129",360,"k",18
"130",360,"l",11
"131",364,"k",55
"132",364,"l",35
"133",368,"k",185
"134",368,"l",37
"135",372,"k",11
"136",372,"l",7
"137",376,"k",10
"138",376,"l",9
"139",380,"k",100
"140",380,"l",61
"141",384,"k",0
"142",384,"l",1
"143",388,"k",7
"144",388,"l",7
"145",392,"k",99
"146",392,"l",56
"147",398,"k",81
"148",398,"l",52
"149",400,"k",13
"150",400,"l",7
"151",404,"k",8
"152",404,"l",4
"153",408,"k",13
"154",408,"l",10
"155",410,"k",15
"156",410,"l",8
"157",414,"k",17
"158",414,"l",5
"159",417,"k",71
"160",417,"l",43
"161",418,"k",2
"162",418,"l",1
"163",422,"k",6
"164",422,"l",4
"165",426,"k",1
"166",426,"l",1
"167",428,"k",44
"168",428,"l",27
"169",430,"k",2
"170",430,"l",3
"171",434,"k",9
"172",434,"l",17
"173",438,"k",4
"174",438,"l",3
"175",440,"k",39
"176",440,"l",19
"177",450,"k",3
"178",450,"l",4
"179",454,"k",2
"180",454,"l",1
"181",458,"k",6
"182",458,"l",3
"183",466,"k",3
"184",466,"l",4
"185",470,"k",5
"186",470,"l",2
"187",478,"k",2
"188",478,"l",4
"189",480,"k",2
"190",480,"l",1
"191",484,"k",37
"192",484,"l",17
"193",496,"k",13
"194",496,"l",8
"195",498,"k",40
"196",498,"l",35
"197",499,"k",5
"198",499,"l",7
"199",500,"k",5
"200",500,"l",2
"201",504,"k",14
"202",504,"l",20
"203",508,"k",4
"204",508,"l",6
"205",512,"k",4
"206",512,"l",1
"207",516,"k",2
"208",516,"l",3
"209",520,"k",1
"210",520,"l",1
"211",524,"k",7
"212",524,"l",6
"213",528,"k",27
"214",528,"l",22
"215",554,"k",2
"216",554,"l",2
"217",558,"k",10
"218",558,"l",8
"219",562,"k",1
"220",562,"l",1
"221",566,"k",9
"222",566,"l",5
"223",578,"k",13
"224",578,"l",12
"225",586,"k",17
"226",586,"l",10
"227",591,"k",2
"228",591,"l",1
"229",600,"k",4
"230",600,"l",2
"231",604,"k",5
"232",604,"l",4
"233",608,"k",4
"234",608,"l",2
