UN,orientation,year,NAME,n
643,l,2009,Russia,52
643,k,2010,Russia,92
643,k,2007,Russia,149
826,l,2010,United Kingdom,3
268,l,2004,Georgia,4
268,k,2009,Georgia,5
268,l,2006,Georgia,7
250,l,2007,France,1
250,k,2006,France,12
250,l,2008,France,2
250,k,2012,France,9
36,l,2006,Australia,2
36,k,2004,Australia,3
36,k,2009,Australia,1
40,l,2011,Austria,4
40,k,2004,Austria,1
40,l,2012,Austria,3
40,k,2003,Austria,7
356,k,2009,India,10
887,k,2007,Yemen,2
434,k,2011,Libyan Arab Jamahiriya,2
643,l,2006,Russia,68
643,k,2008,Russia,113
643,k,2011,Russia,59
643,k,2013,Russia,31
31,l,2005,Azerbaijan,1
31,k,2010,Azerbaijan,3
31,l,2006,Azerbaijan,2
31,k,2006,Azerbaijan,1
643,l,2012,Russia,50
840,l,2005,United States,9
840,k,2013,United States,11
840,k,2006,United States,18
400,k,2009,Jordan,1
643,k,2009,Russia,120
643,l,2003,Russia,72
804,k,2006,Ukraine,19
804,k,2004,Ukraine,18
398,k,2011,Kazakhstan,3
398,l,2006,Kazakhstan,1
840,k,2012,United States,51
840,l,2012,United States,16
840,k,2005,United States,17
643,k,2012,Russia,69
643,l,2004,Russia,55
643,k,2004,Russia,82
8,l,2006,Albania,2
8,k,2003,Albania,1
8,k,2010,Albania,1
643,l,2005,Russia,60
804,l,2003,Ukraine,13
804,l,2013,Ukraine,3
804,k,2013,Ukraine,5
804,k,2009,Ukraine,15
840,l,2011,United States,7
840,k,2007,United States,14
840,l,2007,United States,14
840,l,2006,United States,14
400,k,2003,Jordan,1
528,l,2011,Netherlands,1
528,k,2008,Netherlands,3
528,l,2013,Netherlands,2
528,k,2003,Netherlands,1
762,k,2010,Tajikistan,1
250,k,2007,France,3
804,l,2004,Ukraine,8
804,k,2003,Ukraine,10
250,l,2003,France,6
250,k,2011,France,45
840,k,2009,United States,9
826,l,2007,United Kingdom,9
826,k,2007,United Kingdom,30
826,l,2003,United Kingdom,6
826,k,2012,United Kingdom,8
24,l,2011,Angola,1
24,k,2005,Angola,1
840,k,2004,United States,21
840,l,2004,United States,15
724,l,2004,Spain,2
