"","UN","orientation","n"
"1",4,"k",9
"2",4,"l",3
"3",8,"k",6
"4",8,"l",6
"5",10,"k",3
"6",10,"l",5
"7",12,"k",3
"8",12,"l",2
"9",24,"k",2
"10",24,"l",2
"11",31,"k",10
"12",31,"l",6
"13",32,"k",2
"14",32,"l",5
"15",36,"k",12
"16",36,"l",10
"17",40,"k",25
"18",40,"l",12
"19",44,"k",2
"20",44,"l",1
"21",50,"k",1
"22",50,"l",1
"23",51,"k",10
"24",51,"l",5
"25",56,"k",9
"26",56,"l",6
"27",64,"k",2
"28",64,"l",2
"29",68,"k",1
"30",68,"l",1
"31",70,"k",1
"32",70,"l",2
"33",72,"k",2
"34",72,"l",1
"35",76,"k",2
"36",76,"l",4
"37",100,"k",14
"38",100,"l",8
"39",104,"k",0
"40",104,"l",3
"41",108,"k",0
"42",108,"l",1
"43",112,"k",64
"44",112,"l",17
"45",116,"k",2
"46",116,"l",2
"47",120,"k",2
"48",120,"l",1
"49",124,"k",23
"50",124,"l",13
"51",148,"k",5
"52",148,"l",2
"53",152,"k",8
"54",152,"l",9
"55",156,"k",32
"56",156,"l",30
"57",158,"k",2
"58",158,"l",2
"59",170,"k",5
"60",170,"l",4
"61",178,"k",6
"62",178,"l",3
"63",191,"k",4
"64",191,"l",1
"65",192,"k",1
"66",192,"l",1
"67",196,"k",3
"68",196,"l",2
"69",203,"k",9
"70",203,"l",8
"71",204,"k",1
"72",204,"l",2
"73",208,"k",1
"74",208,"l",0
"75",212,"k",4
"76",212,"l",3
"77",218,"k",2
"78",218,"l",2
"79",231,"k",7
"80",231,"l",3
"81",232,"k",1
"82",232,"l",0
"83",233,"k",13
"84",233,"l",6
"85",242,"k",1
"86",242,"l",1
"87",246,"k",10
"88",246,"l",11
"89",250,"k",124
"90",250,"l",47
"91",268,"k",54
"92",268,"l",33
"93",276,"k",111
"94",276,"l",73
"95",288,"k",2
"96",288,"l",2
"97",300,"k",7
"98",300,"l",10
"99",304,"k",1
"100",304,"l",0
"101",324,"k",2
"102",324,"l",1
"103",332,"k",2
"104",332,"l",2
"105",336,"k",3
"106",336,"l",3
"107",340,"k",2
"108",340,"l",1
"109",348,"k",6
"110",348,"l",6
"111",352,"k",4
"112",352,"l",3
"113",356,"k",29
"114",356,"l",16
"115",360,"k",6
"116",360,"l",6
"117",364,"k",7
"118",364,"l",7
"119",368,"k",10
"120",368,"l",9
"121",372,"k",4
