UN,orientation,year,NAME,n
384,l,2012,Cote d'Ivoire,1
566,l,2007,Nigeria,2
268,l,2010,Georgia,10
268,k,2004,Georgia,15
268,l,2008,Georgia,4
268,k,2003,Georgia,9
250,k,2008,France,3
36,l,2005,Australia,1
36,k,2007,Australia,1
36,l,2003,Australia,1
36,k,2008,Australia,1
40,l,2013,Austria,1
40,k,2006,Austria,1
40,k,2004,Austria,1
887,l,2011,Yemen,7
643,l,2012,Russia,62
643,l,2010,Russia,82
31,l,2011,Azerbaijan,9
31,k,2004,Azerbaijan,2
31,l,2005,Azerbaijan,2
31,k,2011,Azerbaijan,1
643,k,2010,Russia,42
840,k,2010,United States,4
643,k,2011,Russia,22
804,l,2010,Ukraine,22
276,l,2010,Germany,2
398,l,2007,Kazakhstan,6
840,l,2009,United States,7
8,l,2006,Albania,3
8,k,2003,Albania,1
643,k,2006,Russia,21
643,l,2009,Russia,35
643,k,2008,Russia,11
643,l,2013,Russia,14
643,k,2012,Russia,28
643,k,2004,Russia,34
643,l,2008,Russia,15
804,l,2007,Ukraine,6
804,k,2007,Ukraine,7
840,l,2012,United States,4
840,k,2008,United States,16
840,l,2007,United States,6
840,l,2011,United States,6
840,k,2006,United States,23
840,k,2009,United States,22
400,l,2005,Jordan,2
528,l,2005,Netherlands,1
528,l,2010,Netherlands,4
762,k,2003,Tajikistan,1
826,l,2009,United Kingdom,6
826,k,2007,United Kingdom,13
24,l,2005,Angola,1
840,l,2004,United States,4
840,k,2003,United States,2
860,l,2005,Uzbekistan,25
860,k,2006,Uzbekistan,2
860,k,2005,Uzbekistan,16
792,l,2006,Turkey,1
792,k,2013,Turkey,2
792,k,2008,Turkey,2
792,l,2004,Turkey,2
10,k,2006,Antarctica,1
724,k,2013,Spain,1
792,l,2005,Turkey,1
792,k,2003,Turkey,1
792,l,2008,Turkey,1
643,l,2003,Russia,9
643,k,2007,Russia,22
643,l,2005,Russia,34
32,l,2006,Argentina,1
32,k,2008,Argentina,2
32,l,2013,Argentina,1
643,l,2004,Russia,31
840,k,2011,United States,1
643,l,2007,Russia,30
51,l,2012,Armenia,1
51,k,2004,Armenia,3
51,l,2013,Armenia,2
643,k,2005,Russia,29
616,l,2005,Poland,4
4,l,2006,Afghanistan,1
4,k,2013,Afghanistan,5
4,l,2008,Afghanistan,3
4,k,2011,Afghanistan,1
268,k,2006,Georgia,7
268,l,2004,Georgia,17
795,l,2008,Turkmenistan,2
795,k,2003,Turkmenistan,1
276,l,2011,Germany,1
368,l,2004,Iraq,1
368,k,2003,Iraq,36
368,l,2003,Iraq,12
40,k,2003,Austria,1
643,l,2011,Russia,22
31,k,2008,Azerbaijan,1
31,k,2009,Azerbaijan,1
356,l,2003,India,1
764,l,2010,Thailand,1
50,l,2010,Bangladesh,1
50,k,2008,Bangladesh,1
50,l,2003,Bangladesh,1
50,k,2011,Bangladesh,1
804,k,2008,Ukraine,2
268,k,2012,Georgia,2
112,l,2004,Belarus,2
112,k,2005,Belarus,1
112,l,2010,Belarus,5
112,k,2007,Belarus,13
688,l,2008,Serbia,4
688,k,2003,Serbia,5
76,k,2011,Brazil,1
84,l,2011,Belize,1
112,l,2006,Belarus,10
112,l,2011,Belarus,1
586,l,2009,Pakistan,6
586,k,2007,Pakistan,2
56,l,2007,Belgium,1
56,k,2010,Belgium,1
56,l,2003,Belgium,1
498,l,2005,Republic of Moldova,3
498,l,2010,Republic of Moldova,1
498,k,2003,Republic of Moldova,1
498,k,2004,Republic of Moldova,1
204,l,2010,Benin,1
276,l,2009,Germany,8
276,k,2003,Germany,5
276,k,2010,Germany,5
756,k,2011,Switzerland,1
250,k,2004,France,3
104,l,2007,Burma,1
104,l,2011,Burma,2
417,l,2010,Kyrgyzstan,24
417,k,2011,Kyrgyzstan,2
417,k,2005,Kyrgyzstan,20
417,k,2010,Kyrgyzstan,8
156,l,2011,China,13
100,l,2013,Bulgaria,1
100,k,2004,Bulgaria,1
100,l,2010,Bulgaria,1
68,l,2009,Bolivia,2
68,k,2004,Bolivia,1
356,l,2008,India,3
356,k,2006,India,1
276,l,2004,Germany,4
276,k,2004,Germany,7
268,l,2006,Georgia,4
804,l,2004,Ukraine,12
804,l,2013,Ukraine,2
804,k,2006,Ukraine,22
72,l,2010,Botswana,1
72,k,2007,Botswana,1
178,l,2010,Congo,3
826,l,2011,United Kingdom,1
826,k,2003,United Kingdom,2
40,l,2005,Austria,4
40,k,2005,Austria,3
643,k,2009,Russia,24
528,k,2006,Netherlands,2
528,k,2009,Netherlands,1
112,l,2009,Belarus,1
250,l,2008,France,10
96,l,2010,Brunei Darussalam,1
96,l,2006,Brunei Darussalam,1
348,l,2006,Hungary,6
348,k,2005,Hungary,1
348,l,2004,Hungary,1
854,k,2012,Burkina Faso,1
108,l,2010,Burundi,1
108,k,2004,Burundi,1
64,k,2007,Bhutan,1
64,l,2011,Bhutan,1
860,l,2008,Uzbekistan,1
860,l,2006,Uzbekistan,1
642,l,2006,Romania,1
642,k,2008,Romania,5
616,l,2007,Poland,3
616,k,2009,Poland,1
616,l,2004,Poland,1
724,l,2009,Spain,1
616,l,2011,Poland,1
616,k,2012,Poland,3
616,k,2011,Poland,1
336,l,2007,Holy See (Vatican City),1
336,k,2006,Holy See (Vatican City),1
840,l,2005,United States,12
840,l,2003,United States,5
380,k,2003,Italy,1
380,k,2007,Italy,2
826,l,2010,United Kingdom,1
826,k,2005,United Kingdom,1
40,l,2006,Austria,2
40,k,2007,Austria,1
40,l,2011,Austria,2
40,k,2008,Austria,1
348,k,2004,Hungary,3
862,l,2007,Venezuela,1
862,k,2013,Venezuela,4
862,l,2013,Venezuela,2
250,l,2006,France,1
250,k,2012,France,2
36,l,2010,Australia,1
440,l,2009,Lithuania,2
440,k,2006,Lithuania,4
440,k,2007,Lithuania,1
276,l,2007,Germany,2
276,k,2007,Germany,5
616,l,2009,Poland,8
112,k,2009,Belarus,2
112,l,2005,Belarus,1
380,k,2005,Italy,2
380,l,2012,Italy,3
704,l,2006,Viet Nam,3
704,k,2007,Viet Nam,1
276,k,2011,Germany,4
528,l,2004,Netherlands,1
528,k,2003,Netherlands,1
266,l,2010,Gabon,1
268,l,2003,Georgia,1
268,k,2005,Georgia,4
332,l,2011,Haiti,2
332,k,2007,Haiti,2
826,k,2009,United Kingdom,1
804,l,2006,Ukraine,2
804,k,2013,Ukraine,3
804,k,2010,Ukraine,8
270,l,2008,Gambia,1
288,k,2004,Ghana,1
643,k,2013,Russia,4
324,k,2011,Guinea,1
324,l,2009,Guinea,1
616,l,2008,Poland,2
616,k,2010,Poland,3
616,l,2013,Poland,2
616,k,2003,Poland,3
380,l,2011,Italy,1
276,k,2009,Germany,3
276,l,2012,Germany,5
276,k,2012,Germany,1
804,k,2003,Ukraine,3
804,l,2005,Ukraine,16
586,l,2012,Pakistan,1
643,k,2003,Russia,8
340,l,2009,Honduras,1
340,k,2008,Honduras,1
340,l,2010,Honduras,1
268,l,2011,Georgia,1
268,l,2012,Georgia,3
804,l,2009,Ukraine,4
300,l,2011,Greece,2
300,k,2009,Greece,2
300,l,2005,Greece,1
300,k,2011,Greece,1
