"","UN","orientation","n"
"1",4,"k",7
"2",4,"l",5
"3",8,"k",4
"4",8,"l",6
"5",10,"k",1
"6",10,"l",0
"7",12,"k",2
"8",12,"l",3
"9",24,"k",0
"10",24,"l",2
"11",31,"k",5
"12",31,"l",15
"13",32,"k",2
"14",32,"l",2
"15",36,"k",3
"16",36,"l",5
"17",40,"k",8
"18",40,"l",10
"19",50,"k",2
"20",50,"l",2
"21",51,"k",6
"22",51,"l",6
"23",56,"k",1
"24",56,"l",2
"25",64,"k",1
"26",64,"l",1
"27",68,"k",1
"28",68,"l",2
"29",70,"k",0
"30",70,"l",1
"31",72,"k",1
"32",72,"l",1
"33",76,"k",1
"34",76,"l",0
"35",84,"k",0
"36",84,"l",1
"37",96,"k",0
"38",96,"l",2
"39",100,"k",4
"40",100,"l",3
"41",104,"k",0
"42",104,"l",4
"43",108,"k",1
"44",108,"l",1
"45",112,"k",17
"46",112,"l",28
"47",116,"k",0
"48",116,"l",1
"49",124,"k",2
"50",124,"l",4
"51",148,"k",0
"52",148,"l",1
"53",152,"k",3
"54",152,"l",1
"55",156,"k",22
"56",156,"l",23
"57",158,"k",2
"58",158,"l",4
"59",170,"k",2
"60",170,"l",2
"61",178,"k",2
"62",178,"l",3
"63",191,"k",2
"64",191,"l",3
"65",192,"k",2
"66",192,"l",3
"67",196,"k",2
"68",196,"l",2
"69",203,"k",5
"70",203,"l",4
"71",204,"k",0
"72",204,"l",1
"73",212,"k",1
"74",212,"l",0
"75",218,"k",1
"76",218,"l",1
"77",231,"k",2
"78",231,"l",3
"79",232,"k",2
"80",232,"l",2
"81",233,"k",8
"82",233,"l",8
"83",242,"k",0
"84",242,"l",1
"85",246,"k",6
"86",246,"l",5
"87",250,"k",30
"88",250,"l",30
"89",266,"k",0
"90",266,"l",1
"91",268,"k",67
"92",268,"l",62
"93",270,"k",0
"94",270,"l",1
"95",276,"k",37
"96",276,"l",25
"97",288,"k",1
"98",288,"l",0
"99",300,"k",4
"100",300,"l",5
"101",324,"k",1
"102",324,"l",1
"103",332,"k",2
"104",332,"l",2
"105",336,"k",1
"106",336,"l",1
"107",340,"k",1
"108",340,"l",2
"109",348,"k",4
"110",348,"l",7
"111",352,"k",1
"112",352,"l",3
"113",356,"k",7
"114",356,"l",11
"115",360,"k",2
"116",360,"l",5
"117",364,"k",19
"118",364,"l",16
"119",368,"k",39
"120",368,"l",15
"121",372,"k",1
"122",372,"l",2
"123",376,"k",3
"124",376,"l",0
"125",380,"k",9
"126",380,"l",6
"127",384,"k",0
"128",384,"l",1
"129",392,"k",15
"130",392,"l",9
"131",398,"k",8
"132",398,"l",21
"133",400,"k",4
"134",400,"l",2
"135",404,"k",0
"136",404,"l",1
"137",408,"k",3
"138",408,"l",4
"139",410,"k",3
"140",410,"l",2
"141",414,"k",5
"142",414,"l",1
"143",417,"k",31
"144",417,"l",32
"145",422,"k",2
"146",422,"l",4
"147",426,"k",0
"148",426,"l",1
"149",428,"k",9
"150",428,"l",10
"151",430,"k",0
"152",430,"l",1
"153",434,"k",3
"154",434,"l",15
"155",438,"k",1
"156",438,"l",1
"157",440,"k",9
"158",440,"l",6
"159",458,"k",4
"160",458,"l",0
"161",466,"k",0
"162",466,"l",2
"163",470,"k",2
"164",470,"l",1
"165",478,"k",1
"166",478,"l",2
"167",484,"k",3
"168",484,"l",2
"169",496,"k",2
"170",496,"l",4
"171",498,"k",13
"172",498,"l",14
"173",499,"k",2
"174",499,"l",1
"175",504,"k",3
"176",504,"l",2
"177",508,"k",1
"178",508,"l",1
"179",516,"k",1
"180",516,"l",2
"181",528,"k",4
"182",528,"l",8
"183",554,"k",0
"184",554,"l",1
"185",558,"k",2
"186",558,"l",5
"187",566,"k",2
"188",566,"l",3
"189",578,"k",3
"190",578,"l",4
"191",586,"k",7
"192",586,"l",7
"193",591,"k",0
"194",591,"l",1
"195",600,"k",1
"196",600,"l",1
"197",608,"k",1
"198",608,"l",1
"199",616,"k",14
"200",616,"l",23
"201",620,"k",4
"202",620,"l",2
"203",634,"k",1
"204",634,"l",2
"205",642,"k",7
"206",642,"l",5
"207",643,"k",245
"208",643,"l",358
"209",646,"k",0
"210",646,"l",2
"211",682,"k",2
"212",682,"l",3
"213",686,"k",1
"214",686,"l",0
"215",688,"k",9
"216",688,"l",7
"217",702,"k",3
"218",702,"l",4
"219",703,"k",1
"220",703,"l",1
"221",704,"k",1
"222",704,"l",4
"223",705,"k",1
"224",705,"l",2
"225",706,"k",0
"226",706,"l",1
"227",710,"k",2
"228",710,"l",3
"229",716,"k",2
"230",716,"l",6
"231",724,"k",6
"232",724,"l",11
"233",736,"k",3
"234",736,"l",1
"235",756,"k",5
"236",756,"l",10
"237",760,"k",10
"238",760,"l",14
"239",762,"k",6
"240",762,"l",6
"241",764,"k",1
"242",764,"l",2
"243",784,"k",0
"244",784,"l",4
"245",788,"k",13
"246",788,"l",14
"247",792,"k",7
"248",792,"l",8
"249",795,"k",5
"250",795,"l",9
"251",804,"k",86
"252",804,"l",73
"253",807,"k",1
"254",807,"l",2
"255",818,"k",29
"256",818,"l",29
"257",826,"k",22
"258",826,"l",15
"259",840,"k",76
"260",840,"l",50
"261",854,"k",1
"262",854,"l",0
"263",858,"k",0
"264",858,"l",1
"265",860,"k",18
"266",860,"l",31
"267",862,"k",4
"268",862,"l",4
"269",887,"k",6
"270",887,"l",7
