"","AREA","orientation","n"
"1",1.888,"k",2
"2",1.888,"l",4
"3",1984170,"k",0
"4",1984170,"l",0
"5",3184250,"k",0
"6",3184250,"l",0
"7",3655840,"k",0
"8",3655840,"l",0
"9",23023800,"k",0
"10",23023800,"l",0
"11",29809500,"k",0
"12",29809500,"l",0
"13",37361100,"k",1
"14",37361100,"l",1
"15",277949000,"k",0
"16",277949000,"l",0
"17",396293000,"k",0
"18",396293000,"l",0
"19",1072420000,"k",0
"20",1072420000,"l",0
"21",1404590000,"k",11
"22",1404590000,"l",14
"23",2001880000,"k",0
"24",2001880000,"l",0
"25",7784290000,"k",0
"26",7784290000,"l",2
"27",7998460000,"k",1
"28",7998460000,"l",1
"29",12455100000,"k",9
"30",12455100000,"l",8
"31",14278500000,"k",4
"32",14278500000,"l",12
"33",18379500000,"k",1
"34",18379500000,"l",4
"35",19253200000,"k",10
"36",19253200000,"l",27
"37",21633900000,"k",1
"38",21633900000,"l",2
"39",23393200000,"k",0
"40",23393200000,"l",0
"41",24070400000,"k",3
"42",24070400000,"l",0
"43",24667200000,"k",0
"44",24667200000,"l",1
"45",25714300000,"k",1
"46",25714300000,"l",0
"47",27156700000,"k",1
"48",27156700000,"l",0
"49",29138200000,"k",2
"50",29138200000,"l",2
"51",29801200000,"k",5
"52",29801200000,"l",1
"53",30003900000,"k",4
"54",30003900000,"l",1
"55",34463000000,"k",1
"56",34463000000,"l",1
"57",34920400000,"k",1
"58",34920400000,"l",0
"59",35776700000,"k",2
"60",35776700000,"l",0
"61",36156700000,"k",6
"62",36156700000,"l",3
"63",37242500000,"k",1
"64",37242500000,"l",3
"65",39695000000,"k",3
"66",39695000000,"l",3
"67",42104800000,"k",2
"68",42104800000,"l",2
"69",43351300000,"k",0
"70",43351300000,"l",0
"71",45938100000,"k",17
"72",45938100000,"l",21
"73",49871500000,"k",0
"74",49871500000,"l",2
"75",49932100000,"k",4
"76",49932100000,"l",12
"77",50589800000,"k",2
"78",50589800000,"l",4
"79",52206800000,"k",2
"80",52206800000,"l",3
"81",53541500000,"k",9
"82",53541500000,"l",13
"83",55092400000,"k",4
"84",55092400000,"l",5
"85",55256800000,"k",4
"86",55256800000,"l",2
"87",60248100000,"k",1
"88",60248100000,"l",2
"89",61652100000,"k",4
"90",61652100000,"l",3
"91",66180200000,"k",4
"92",66180200000,"l",6
"93",68035300000,"k",5
"94",68035300000,"l",9
"95",70525800000,"k",1
"96",70525800000,"l",3
"97",71695700000,"k",0
"98",71695700000,"l",0
"99",75617300000,"k",11
"100",75617300000,"l",28
"101",76790200000,"k",0
"102",76790200000,"l",1
"103",84480900000,"k",3
"104",84480900000,"l",2
"105",88634600000,"k",4
"106",88634600000,"l",5
"107",92969500000,"k",2
"108",92969500000,"l",2
"109",95796800000,"k",0
"110",95796800000,"l",1
"111",101055000000,"k",5
"112",101055000000,"l",3
"113",101141000000,"k",2
"114",101141000000,"l",3
"115",112861000000,"k",4
"116",112861000000,"l",7
"117",120598000000,"k",2
"118",120598000000,"l",1
"119",124242000000,"k",0
"120",124242000000,"l",1
"121",128003000000,"k",0
"122",128003000000,"l",4
"123",141206000000,"k",2
"124",141206000000,"l",1
"125",142986000000,"k",6
"126",142986000000,"l",7
"127",143071000000,"k",1
"128",143071000000,"l",5
"129",145444000000,"k",4
"130",145444000000,"l",4
"131",159839000000,"k",5
"132",159839000000,"l",4
"133",165229000000,"k",2
"134",165229000000,"l",2
"135",167141000000,"k",0
"136",167141000000,"l",0
"137",168126000000,"k",3
"138",168126000000,"l",1
"139",168539000000,"k",3
"140",168539000000,"l",4
"141",172464000000,"k",5
"142",172464000000,"l",13
"143",177881000000,"k",4
"144",177881000000,"l",6
"145",194272000000,"k",7
"146",194272000000,"l",6
"147",314507000000,"k",0
"148",314507000000,"l",1
"149",351792000000,"k",0
"150",351792000000,"l",1
"151",362638000000,"k",0
"152",362638000000,"l",1
"153",413018000000,"k",1
"154",413018000000,"l",6
"155",417593000000,"k",1
"156",417593000000,"l",1
"157",462572000000,"k",2
"158",462572000000,"l",1
"159",534822000000,"k",1
"160",534822000000,"l",2
"161",752945000000,"k",4
"162",752945000000,"l",5
"163",782666000000,"k",2
"164",782666000000,"l",0
