AREA,orientation,n,originalPlace,year
75617300000,l,1,adler,2012
7784290000,l,2,adygeia,2010
101055000000,k,2,azov,2010
177881000000,l,1,akademgorodok,2012
177881000000,k,1,akademgorodok,2011
177881000000,l,1,akademgorodok,2010
29138200000,k,1,aleksandrov,2006
29138200000,l,1,aleksandrov,2009
29138200000,k,1,aleksandrov,2008
92969500000,l,1,altai,2013
92969500000,k,1,altai,2012
92969500000,k,1,altai,2004
92969500000,l,1,altaisk,2008
709138000000,l,1,anadyr',2008
752945000000,k,1,angarsk,2010
45938100000,l,1,aprelevka,2010
1009120000,l,1,arbat,2003
1009120000,k,1,arbat,2010
1009120000,l,2,arbat,2012
1009120000,k,1,arbat,2007
61652100000,l,1,arbatov,2005
61652100000,k,1,arbatov,2012
19253200000,l,1,argun,2004
75617300000,l,1,armavir,2007
307619000000,l,1,arkhangel'sk,2007
307619000000,k,1,arkhangel'sk,2004
307619000000,k,1,arkhangel'sk,2005
61652100000,k,1,assr,2008
50589800000,l,4,astrakhan',2012
50589800000,k,1,astrakhan',2010
50589800000,k,1,astrakhan',2012
52206800000,l,1,bagrationi,2008
752945000000,k,1,baikal'sk,2008
12455100000,l,1,baksan,2011
45938100000,k,1,balashikha,2008
12455100000,l,2,balkariia,2010
12455100000,k,2,balkariia,2005
1.888,k,1,baltiisk,2007
45938100000,l,1,barvikha,2012
45938100000,k,1,barvikha,2011
45938100000,k,1,barvikha,2007
168126000000,l,1,barnaul,2012
168126000000,k,1,barnaul,2007
37242500000,l,1,barysh,2009
37242500000,l,1,barysh,2005
1009120000,l,3,basmannyi,2003
1009120000,k,2,basmannyi,2005
142986000000,l,3,bashkiriia,2005
142986000000,k,1,bashkiriia,2010
142986000000,l,1,bashkortostan,2005
142986000000,k,1,bashkortostan,2010
142986000000,k,1,bashkortostan,2004
27156700000,k,1,belgorod,2007
168126000000,k,1,biisk,2004
35776700000,k,1,birobidzhan,2010
362638000000,l,1,blagoveshchensk,2011
45938100000,k,1,borodino,2005
752945000000,l,2,bratsk,2010
752945000000,k,1,bratsk,2009
34920400000,k,1,briansk,2010
66180200000,l,1,budennovsk,2005
66180200000,l,1,budennovsk,2003
66180200000,k,1,budennovsk,2004
49932100000,l,1,buinaksk,2013
351792000000,l,1,buriatiia,2007
172464000000,l,1,valaam,2010
55092400000,l,4,valdai,2009
55092400000,k,2,valdai,2006
55092400000,k,1,valdai,2009
45938100000,k,1,vereia,2006
143071000000,l,1,vidiaevo,2008
168126000000,k,1,vipa,2010
165229000000,l,1,vladivostok,2008
165229000000,k,1,vladivostok,2010
165229000000,k,1,vladivostok,2006
7998460000,l,1,vladikavkaz,2010
101055000000,k,1,vladimirov,2005
112861000000,k,1,volgograd,2004
112861000000,l,2,volgograd,2013
101055000000,l,1,volgodonsk,2013
145444000000,l,1,vologda,2013
145444000000,k,2,vologda,2005
52206800000,l,1,voronezh,2009
52206800000,k,1,voronezh,2008
52206800000,l,1,voronezh,2004
143071000000,l,2,voron'ia,2010
84212600000,l,1,vsevolozhsk,2008
76790200000,l,1,vyksa,2010
84212600000,k,1,vysotsk,2006
19253200000,l,1,galashki,2012
84212600000,k,1,gatchina,2013
75617300000,l,1,gelendzhik,2011
12404400,l,1,geral'd,2004
12404400,l,1,geral'd,2010
45938100000,k,1,golitsyno,2003
19253200000,l,1,gudermes,2010
19253200000,l,1,gudermes,2004
49932100000,l,4,dagestan,2010
49932100000,k,1,dagestan,2010
49932100000,l,1,dagestan,2011
45938100000,l,3,domodedovo,2011
45938100000,l,1,dubna,2010
45938100000,k,1,dubna,2011
35776700000,k,1,eao,2010
4496400000,k,1,eika,2005
194272000000,l,1,ekaterinburg,2009
194272000000,k,2,ekaterinburg,2008
68035300000,k,1,elabuga,2005
30003900000,k,1,zheleznogorsk,2009
159839000000,l,1,zaikovy,2009
1009120000,l,1,zamoskvorech'e,2010
1009120000,k,1,zamoskvorech'e,2011
194272000000,k,1,zaural'e,2012
45938100000,k,1,zvenigorod,2009
45938100000,k,1,zvenigorod,2006
