UN,orientation,year,NAME,n
268,l,2006,Georgia,5
268,k,2005,Georgia,4
268,l,2004,Georgia,12
268,k,2004,Georgia,6
643,l,2004,Russia,14
31,k,2004,Azerbaijan,1
31,l,2010,Azerbaijan,1
643,k,2008,Russia,8
840,k,2013,United States,1
840,l,2010,United States,4
826,k,2006,United Kingdom,13
24,k,2004,Angola,1
792,k,2003,Turkey,2
643,k,2004,Russia,37
643,k,2003,Russia,20
643,k,2006,Russia,9
643,l,2011,Russia,14
643,l,2005,Russia,30
4,k,2005,Afghanistan,1
4,l,2011,Afghanistan,1
4,k,2004,Afghanistan,1
268,l,2009,Georgia,2
368,k,2004,Iraq,2
643,k,2007,Russia,6
31,l,2005,Azerbaijan,1
31,l,2003,Azerbaijan,2
31,k,2006,Azerbaijan,1
643,l,2006,Russia,24
643,k,2011,Russia,10
268,k,2006,Georgia,2
112,k,2009,Belarus,1
643,k,2013,Russia,2
112,k,2011,Belarus,4
56,k,2008,Belgium,1
156,l,2005,China,1
356,l,2008,India,1
268,l,2010,Georgia,4
804,l,2003,Ukraine,3
643,l,2007,Russia,6
643,l,2003,Russia,17
616,l,2006,Poland,1
616,k,2006,Poland,1
40,k,2003,Austria,1
348,k,2003,Hungary,1
643,k,2012,Russia,2
643,k,2009,Russia,14
528,k,2007,Netherlands,1
276,k,2006,Germany,1
276,k,2004,Germany,1
276,k,2005,Germany,2
180,l,2006,Democratic Republic of the Congo,1
340,k,2004,Honduras,1
268,l,2008,Georgia,17
268,k,2008,Georgia,24
804,l,2009,Ukraine,1
643,l,2010,Russia,7
4,k,2009,Afghanistan,2
12,k,2004,Algeria,1
804,k,2003,Ukraine,2
804,l,2004,Ukraine,4
840,k,2011,United States,1
818,k,2004,Egypt,4
112,k,2005,Belarus,1
51,k,2004,Armenia,1
24,k,2008,Angola,1
643,k,2005,Russia,9
368,l,2012,Iraq,1
368,k,2005,Iraq,2
368,l,2003,Iraq,1
364,k,2005,Iran (Islamic Republic of),2
643,l,2008,Russia,6
724,l,2004,Spain,1
724,k,2007,Spain,3
887,k,2005,Yemen,1
268,l,2005,Georgia,3
268,k,2012,Georgia,1
643,k,2010,Russia,3
634,k,2004,Qatar,1
804,l,2006,Ukraine,1
196,k,2010,Cyprus,1
196,l,2010,Cyprus,2
417,k,2009,Kyrgyzstan,1
417,l,2005,Kyrgyzstan,1
498,k,2005,Republic of Moldova,3
591,l,2008,Panama,1
804,k,2004,Ukraine,1
430,l,2003,Liberia,1
422,k,2006,Lebanon,1
434,l,2012,Libyan Arab Jamahiriya,1
440,l,2011,Lithuania,1
440,k,2003,Lithuania,2
826,l,2005,United Kingdom,1
826,k,2008,United Kingdom,1
724,l,2005,Spain,1
724,k,2008,Spain,1
458,k,2005,Malaysia,1
484,l,2004,Mexico,1
484,k,2008,Mexico,1
558,l,2008,Nicaragua,1
578,l,2009,Norway,1
586,k,2003,Pakistan,1
156,l,2008,China,2
398,k,2005,Kazakhstan,1
804,k,2010,Ukraine,3
616,k,2008,Poland,1
804,k,2005,Ukraine,1
410,k,2003,Korea Republic of,1
458,k,2004,Malaysia,1
760,l,2012,Syrian Arab Republic,1
250,l,2010,France,1
250,l,2003,France,1
268,k,2007,Georgia,1
840,k,2012,United States,1
840,k,2004,United States,2
158,k,2006,Taiwan,1
158,k,2008,Taiwan,1
233,l,2011,Estonia,1
795,k,2009,Turkmenistan,1
860,l,2004,Uzbekistan,1
276,l,2004,Germany,1
250,k,2006,France,1
112,k,2008,Belarus,1
191,l,2005,Croatia,1
203,k,2004,Czech Republic,1
744,k,2006,Svalbard,1
643,l,2012,Russia,1
376,k,2004,Israel,1
233,l,2010,Estonia,1
392,k,2005,Japan,1
