"","UN","orientation","n"
"1",4,"k",4
"2",4,"l",1
"3",12,"k",1
"4",12,"l",0
"5",24,"k",2
"6",24,"l",0
"7",31,"k",2
"8",31,"l",4
"9",40,"k",1
"10",40,"l",0
"11",51,"k",1
"12",51,"l",0
"13",56,"k",1
"14",56,"l",0
"15",112,"k",7
"16",112,"l",0
"17",156,"k",0
"18",156,"l",3
"19",158,"k",2
"20",158,"l",0
"21",180,"k",0
"22",180,"l",1
"23",191,"k",0
"24",191,"l",1
"25",196,"k",1
"26",196,"l",2
"27",203,"k",1
"28",203,"l",0
"29",233,"k",0
"30",233,"l",2
"31",250,"k",1
"32",250,"l",2
"33",268,"k",38
"34",268,"l",43
"35",276,"k",4
"36",276,"l",1
"37",340,"k",1
"38",340,"l",0
"39",348,"k",1
"40",348,"l",0
"41",356,"k",0
"42",356,"l",1
"43",364,"k",2
"44",364,"l",0
"45",368,"k",4
"46",368,"l",2
"47",376,"k",1
"48",376,"l",0
"49",392,"k",1
"50",392,"l",0
"51",398,"k",1
"52",398,"l",0
"53",410,"k",1
"54",410,"l",0
"55",417,"k",1
"56",417,"l",1
"57",422,"k",1
"58",422,"l",0
"59",430,"k",0
"60",430,"l",1
"61",434,"k",0
"62",434,"l",1
"63",440,"k",2
"64",440,"l",1
"65",458,"k",2
"66",458,"l",0
"67",484,"k",1
"68",484,"l",1
"69",498,"k",3
"70",498,"l",0
"71",528,"k",1
"72",528,"l",0
"73",558,"k",0
"74",558,"l",1
"75",578,"k",0
"76",578,"l",1
"77",586,"k",1
"78",586,"l",0
"79",591,"k",0
"80",591,"l",1
"81",616,"k",2
"82",616,"l",1
"83",634,"k",1
"84",634,"l",0
"85",643,"k",120
"86",643,"l",119
"87",724,"k",4
"88",724,"l",2
"89",744,"k",1
"90",744,"l",0
"91",760,"k",0
"92",760,"l",1
"93",792,"k",2
"94",792,"l",0
"95",795,"k",1
"96",795,"l",0
"97",804,"k",7
"98",804,"l",9
"99",818,"k",4
"100",818,"l",0
"101",826,"k",14
"102",826,"l",1
"103",840,"k",5
"104",840,"l",4
"105",860,"k",0
"106",860,"l",1
"107",887,"k",1
"108",887,"l",0
