"","AREA","orientation","n"
"1",1.888,"k",1
"2",1.888,"l",0
"3",1984170,"k",0
"4",1984170,"l",0
"5",3184250,"k",0
"6",3184250,"l",0
"7",3655840,"k",0
"8",3655840,"l",0
"9",23023800,"k",0
"10",23023800,"l",0
"11",29809500,"k",0
"12",29809500,"l",0
"13",37361100,"k",0
"14",37361100,"l",0
"15",277949000,"k",0
"16",277949000,"l",0
"17",396293000,"k",0
"18",396293000,"l",0
"19",1072420000,"k",0
"20",1072420000,"l",0
"21",1404590000,"k",3
"22",1404590000,"l",4
"23",2001880000,"k",0
"24",2001880000,"l",0
"25",7784290000,"k",1
"26",7784290000,"l",1
"27",7998460000,"k",7
"28",7998460000,"l",8
"29",12455100000,"k",11
"30",12455100000,"l",8
"31",14278500000,"k",0
"32",14278500000,"l",0
"33",18379500000,"k",1
"34",18379500000,"l",0
"35",19253200000,"k",26
"36",19253200000,"l",25
"37",21633900000,"k",0
"38",21633900000,"l",0
"39",23393200000,"k",0
"40",23393200000,"l",0
"41",24070400000,"k",0
"42",24070400000,"l",0
"43",24667200000,"k",0
"44",24667200000,"l",0
"45",25714300000,"k",1
"46",25714300000,"l",0
"47",27156700000,"k",1
"48",27156700000,"l",0
"49",29138200000,"k",0
"50",29138200000,"l",0
"51",29801200000,"k",0
"52",29801200000,"l",0
"53",30003900000,"k",0
"54",30003900000,"l",2
"55",34463000000,"k",1
"56",34463000000,"l",0
"57",34920400000,"k",1
"58",34920400000,"l",0
"59",35776700000,"k",0
"60",35776700000,"l",0
"61",36156700000,"k",1
"62",36156700000,"l",0
"63",37242500000,"k",0
"64",37242500000,"l",1
"65",39695000000,"k",0
"66",39695000000,"l",1
"67",42104800000,"k",2
"68",42104800000,"l",1
"69",43351300000,"k",0
"70",43351300000,"l",0
"71",45938100000,"k",6
"72",45938100000,"l",8
"73",49871500000,"k",1
"74",49871500000,"l",0
"75",49932100000,"k",10
"76",49932100000,"l",12
"77",50589800000,"k",0
"78",50589800000,"l",1
"79",52206800000,"k",2
"80",52206800000,"l",1
"81",53541500000,"k",0
"82",53541500000,"l",0
"83",55092400000,"k",0
"84",55092400000,"l",0
"85",55256800000,"k",1
"86",55256800000,"l",0
"87",60248100000,"k",1
"88",60248100000,"l",1
"89",61652100000,"k",1
"90",61652100000,"l",0
"91",66180200000,"k",6
"92",66180200000,"l",5
"93",68035300000,"k",1
"94",68035300000,"l",2
"95",70525800000,"k",0
"96",70525800000,"l",0
"97",71695700000,"k",0
"98",71695700000,"l",0
"99",75617300000,"k",3
"100",75617300000,"l",7
"101",76790200000,"k",2
"102",76790200000,"l",1
"103",84480900000,"k",0
"104",84480900000,"l",1
"105",88634600000,"k",3
"106",88634600000,"l",2
"107",92969500000,"k",1
"108",92969500000,"l",0
"109",95796800000,"k",1
"110",95796800000,"l",1
"111",101055000000,"k",0
"112",101055000000,"l",2
"113",101141000000,"k",1
"114",101141000000,"l",2
"115",112861000000,"k",1
"116",112861000000,"l",0
"117",120598000000,"k",2
"118",120598000000,"l",1
"119",124242000000,"k",0
"120",124242000000,"l",0
"121",128003000000,"k",0
"122",128003000000,"l",0
"123",141206000000,"k",0
"124",141206000000,"l",1
"125",142986000000,"k",1
"126",142986000000,"l",1
"127",143071000000,"k",2
"128",143071000000,"l",4
"129",145444000000,"k",1
"130",145444000000,"l",1
"131",159839000000,"k",1
"132",159839000000,"l",2
"133",165229000000,"k",2
"134",165229000000,"l",1
"135",167141000000,"k",0
"136",167141000000,"l",0
"137",168126000000,"k",0
"138",168126000000,"l",0
"139",168539000000,"k",0
"140",168539000000,"l",0
"141",172464000000,"k",0
"142",172464000000,"l",0
"143",177881000000,"k",1
"144",177881000000,"l",2
"145",194272000000,"k",0
"146",194272000000,"l",2
"147",314507000000,"k",0
"148",314507000000,"l",0
"149",351792000000,"k",0
"150",351792000000,"l",0
"151",362638000000,"k",0
"152",362638000000,"l",1
"153",413018000000,"k",1
"154",413018000000,"l",0
"155",417593000000,"k",0
"156",417593000000,"l",0
"157",462572000000,"k",1
"158",462572000000,"l",0
"159",534822000000,"k",1
"160",534822000000,"l",0
"161",752945000000,"k",1
"162",752945000000,"l",2
"163",782666000000,"k",0
"164",782666000000,"l",1
