AREA,orientation,n,originalPlace,year
75617300000,l,1,adler,2004
92969500000,k,1,altai,2008
1009120000,k,1,arbat,2004
19253200000,k,1,argun,2003
19253200000,k,1,argun,2006
76790200000,l,1,arzamas,2011
307619000000,l,1,arkhangel'sk,2004
61652100000,k,1,assr,2003
50589800000,l,1,astrakhan',2005
12455100000,k,1,baksan,2007
101141000000,l,1,balakovo,2006
12455100000,k,1,balkariia,2011
12455100000,l,1,balkariia,2006
12455100000,k,1,balkariia,2007
142986000000,k,1,bashkiriia,2011
142986000000,l,1,bashkiriia,2011
27156700000,k,1,belgorod,2013
362638000000,l,1,blagoveshchensk,2005
66180200000,l,1,budennovsk,2007
66180200000,k,1,budennovsk,2013
66180200000,l,1,budennovsk,2005
49932100000,k,1,buinaksk,2003
49932100000,l,1,buinaksk,2003
165229000000,k,1,vladivostok,2006
165229000000,l,1,vladivostok,2011
7998460000,l,6,vladikavkaz,2005
7998460000,k,1,vladikavkaz,2012
7998460000,k,3,vladikavkaz,2008
112861000000,k,1,volgograd,2004
101055000000,l,1,volgodonsk,2011
101055000000,l,1,volgodonsk,2004
145444000000,l,1,vologda,2004
52206800000,k,1,voronezh,2011
52206800000,l,1,voronezh,2004
52206800000,k,1,voronezh,2006
143071000000,k,1,voron'ia,2009
84212600000,k,1,vyborg,2009
84212600000,k,1,vyborg,2003
19253200000,l,1,galashki,2005
66180200000,l,1,georgievsk,2007
76790200000,k,1,gorbatov,2009
19253200000,l,2,gudermes,2005
19253200000,k,1,gudermes,2003
19253200000,l,1,gudermes,2003
19253200000,k,1,gudermes,2004
49932100000,l,1,dagestan,2006
49932100000,k,4,dagestan,2003
49932100000,l,2,dagestan,2010
49932100000,k,1,dagestan,2007
45938100000,l,1,domodedovo,2005
45938100000,k,1,domodedovo,2011
49871500000,k,1,el'nia,2004
42104800000,l,1,izhevsk,2006
49932100000,k,1,izberbash,2005
19253200000,l,6,ingushetiia,2006
19253200000,k,7,ingushetiia,2004
19253200000,k,1,ingushetiia,2007
752945000000,l,1,irkutsk,2006
752945000000,l,1,irkutsk,2008
45938100000,k,1,istra,2009
12455100000,k,1,kabardino,2011
12455100000,l,1,kabardino,2005
12455100000,k,1,kabardino,2007
1.888,k,1,kaliningrad,2006
42104800000,k,1,kambarka,2010
4496400000,k,1,kanatka,2011
88634600000,k,1,karachai,2011
49932100000,l,1,kaspiisk,2007
49932100000,l,1,kaspiisk,2003
49932100000,l,2,kizliar,2010
49932100000,k,1,kizliar,2003
145444000000,k,1,kirillov,2005
120598000000,k,2,kirov,2009
120598000000,l,1,kirov,2006
143071000000,l,1,kirovsk,2007
34463000000,k,1,kirsanov,2009
66180200000,k,2,kislovodsk,2003
45938100000,k,1,kolomna,2007
45938100000,l,1,kolomna,2011
60248100000,k,1,kostroma,2006
60248100000,l,1,kostroma,2004
75617300000,k,1,krasnodar,2003
194272000000,l,2,krasnotur'insk,2006
4496400000,l,1,krasnoiarsk,2008
75617300000,l,1,krymsk,2003
30003900000,l,1,kursk,2010
30003900000,l,1,kursk,2008
1404590000,l,1,leningrad,2011
1404590000,k,1,leningrad,2003
84212600000,k,1,lenoblast',2009
1009120000,l,1,lefortovo,2004
45938100000,k,1,liubertsy,2004
534822000000,k,1,liapin,2006
462572000000,k,1,magadan,2004
7784290000,l,1,maikop,2005
7784290000,k,1,maikop,2004
95796800000,l,1,mariinsk,2004
49932100000,l,1,makhachkala,2005
49932100000,k,1,makhachkala,2005
49932100000,l,1,makhachkala,2010
7998460000,k,3,mozdok,2004
7998460000,l,1,mozdok,2003
26149800000,l,1,mordoviia,2008
1009120000,l,1,moskva,2010
1009120000,k,1,moskva,2004
76790200000,k,1,mulino,2009
143071000000,l,1,murmansk,2007
143071000000,l,1,murmansk,2005
45938100000,k,1,mytishchi,2005
19253200000,l,1,nazran',2006
19253200000,k,6,nazran',2004
19253200000,l,1,nazran',2010
19253200000,k,1,nazran',2009
12455100000,k,1,nal'chik,2011
12455100000,l,3,nal'chik,2005
12455100000,k,3,nal'chik,2005
66180200000,l,1,nevinnomyssk,2007
66180200000,k,1,neftekumsk,2003
95796800000,k,1,novokuznetsk,2009
1009120000,k,1,novoperedelkino,2004
177881000000,k,1,novosibirsk,2003
177881000000,l,1,novosibirsk,2005
18379500000,k,1,novocheboksarsk,2004
45938100000,l,1,noginsk,2011
141206000000,l,1,omsk,2006
1404590000,l,1,peterburg,2007
1404590000,k,1,peterburg,2008
1404590000,l,1,peterburg,2003
1404590000,k,1,peterburg,2003
143071000000,k,1,pechenga,2009
1404590000,l,1,piter,2006
66180200000,k,1,podkumok,2003
45938100000,l,1,podol'sk,2004
34920400000,k,1,pochep,2010
55256800000,k,1,pskov,2005
752945000000,k,1,pulkovskii,2003
66180200000,l,1,piatigorsk,2011
45938100000,l,1,reutov,2011
84480900000,l,1,rzhev,2006
36156700000,k,1,rybinsk,2004
39695000000,l,1,riazan',2004
101141000000,l,1,saratov,2005
101141000000,k,1,saratov,2003
1009120000,l,1,svao,2011
75617300000,l,1,severin,2005
75617300000,l,1,severokavkazskii,2006
75617300000,k,1,severokavkazskii,2012
75617300000,l,1,severokavkazskii,2003
143071000000,l,1,severomorsk,2005
159839000000,l,1,sibir',2011
159839000000,k,1,sibir',2004
75617300000,l,1,sochi,2005
75617300000,k,1,sochi,2004
75617300000,l,1,sochi,2003
66180200000,k,1,stavropol',2004
68035300000,l,1,tatarstan,2008
68035300000,k,1,tatarstan,2006
4348210,l,2,tolstopal'tsevo,2004
25714300000,k,1,tula,2009
159839000000,l,1,tiumen',2006
42104800000,k,1,udmurtiia,2010
37242500000,l,1,ul'ianovsk,2011
677128000000,k,1,urengoi,2011
165229000000,k,1,ussuriisk,2004
45938100000,l,1,fominsk,2003
782666000000,l,1,khabarovsk,2011
49932100000,l,1,khasaviurt,2006
49932100000,k,1,khasaviurt,2005
49932100000,l,1,khasaviurt,2005
