AREA,orientation,n,originalPlace,year
61652100000,l,4,abakan,2009
61652100000,k,1,abakan,2010
61652100000,l,2,abakan,2006
61652100000,k,3,abakan,2007
75617300000,l,2,adler,2006
75617300000,k,11,adler,2008
75617300000,l,1,adler,2007
7784290000,l,2,adygeia,2010
7784290000,k,1,adygeia,2008
7784290000,l,1,adygeia,2012
7784290000,k,2,adygeia,2007
101055000000,l,1,azov,2011
101055000000,k,8,azov,2010
101055000000,l,2,azov,2007
101055000000,k,5,azov,2008
177881000000,l,1,akademgorodok,2012
177881000000,k,1,akademgorodok,2012
177881000000,l,1,akademgorodok,2011
177881000000,k,4,akademgorodok,2008
101055000000,k,1,aksai,2009
101055000000,k,2,aksai,2005
45938100000,k,1,alabino,2012
7998460000,l,1,alagir,2008
7998460000,k,5,alagir,2008
7998460000,l,1,alagir,2004
194272000000,l,1,alapaevsk,2011
194272000000,k,1,alapaevsk,2008
194272000000,k,1,alapaevsk,2007
3035630000000,l,1,aldan,2012
3035630000000,k,1,aldan,2013
168126000000,k,1,aleisk,2009
168126000000,k,1,aleisk,2004
29138200000,l,2,aleksandrov,2010
29138200000,k,7,aleksandrov,2004
29138200000,l,2,aleksandrov,2011
29138200000,k,5,aleksandrov,2009
128003000000,k,1,aleksandrovsk,2005
27156700000,l,1,alekseevka,2006
27156700000,k,1,alekseevka,2011
25714300000,l,2,aleksin,2003
25714300000,k,1,aleksin,2008
92969500000,l,2,altai,2012
92969500000,k,7,altai,2009
92969500000,l,3,altai,2005
92969500000,k,12,altai,2008
92969500000,k,3,altaisk,2009
92969500000,l,2,altaisk,2011
92969500000,k,1,altaisk,2010
1009120000,l,1,altuf'evo,2010
1009120000,k,2,altuf'evo,2009
1009120000,l,1,altuf'evo,2003
1009120000,k,1,altuf'evo,2008
68035300000,l,1,al'met'evsk,2011
68035300000,k,1,al'met'evsk,2005
68035300000,l,1,al'met'evsk,2005
68035300000,k,1,al'met'evsk,2009
782666000000,l,1,amursk,2006
782666000000,k,1,amursk,2003
709138000000,l,1,anadyr',2004
709138000000,k,2,anadyr',2008
709138000000,l,1,anadyr',2012
709138000000,k,1,anadyr',2011
75617300000,l,2,anapa,2003
75617300000,k,4,anapa,2008
