"","AREA","orientation","n"
"1",1.888,"k",6
"2",1.888,"l",5
"3",1984170,"k",0
"4",1984170,"l",0
"5",3184250,"k",0
"6",3184250,"l",0
"7",3655840,"k",0
"8",3655840,"l",0
"9",23023800,"k",0
"10",23023800,"l",0
"11",29809500,"k",0
"12",29809500,"l",0
"13",37361100,"k",1
"14",37361100,"l",2
"15",277949000,"k",0
"16",277949000,"l",0
"17",396293000,"k",0
"18",396293000,"l",0
"19",1072420000,"k",0
"20",1072420000,"l",0
"21",1404590000,"k",90
"22",1404590000,"l",31
"23",2001880000,"k",0
"24",2001880000,"l",0
"25",7784290000,"k",3
"26",7784290000,"l",0
"27",7998460000,"k",9
"28",7998460000,"l",5
"29",12455100000,"k",7
"30",12455100000,"l",6
"31",14278500000,"k",5
"32",14278500000,"l",2
"33",18379500000,"k",7
"34",18379500000,"l",1
"35",19253200000,"k",10
"36",19253200000,"l",11
"37",21633900000,"k",5
"38",21633900000,"l",5
"39",23393200000,"k",0
"40",23393200000,"l",0
"41",24070400000,"k",2
"42",24070400000,"l",1
"43",24667200000,"k",2
"44",24667200000,"l",0
"45",25714300000,"k",11
"46",25714300000,"l",6
"47",27156700000,"k",6
"48",27156700000,"l",3
"49",29138200000,"k",6
"50",29138200000,"l",5
"51",29801200000,"k",11
"52",29801200000,"l",10
"53",30003900000,"k",6
"54",30003900000,"l",2
"55",34463000000,"k",6
"56",34463000000,"l",2
"57",34920400000,"k",3
"58",34920400000,"l",2
"59",35776700000,"k",2
"60",35776700000,"l",0
"61",36156700000,"k",10
"62",36156700000,"l",6
"63",37242500000,"k",4
"64",37242500000,"l",3
"65",39695000000,"k",6
"66",39695000000,"l",4
"67",42104800000,"k",9
"68",42104800000,"l",5
"69",43351300000,"k",4
"70",43351300000,"l",3
"71",45938100000,"k",84
"72",45938100000,"l",52
"73",49871500000,"k",7
"74",49871500000,"l",3
"75",49932100000,"k",6
"76",49932100000,"l",5
"77",50589800000,"k",3
"78",50589800000,"l",3
"79",52206800000,"k",12
"80",52206800000,"l",7
"81",53541500000,"k",13
"82",53541500000,"l",8
"83",55092400000,"k",14
"84",55092400000,"l",5
"85",55256800000,"k",6
"86",55256800000,"l",1
"87",60248100000,"k",6
"88",60248100000,"l",4
"89",61652100000,"k",7
"90",61652100000,"l",5
"91",66180200000,"k",11
"92",66180200000,"l",1
"93",68035300000,"k",14
"94",68035300000,"l",5
"95",70525800000,"k",2
"96",70525800000,"l",3
"97",71695700000,"k",0
"98",71695700000,"l",0
"99",75617300000,"k",45
"100",75617300000,"l",29
"101",76790200000,"k",15
"102",76790200000,"l",2
"103",84480900000,"k",18
"104",84480900000,"l",12
"105",88634600000,"k",16
"106",88634600000,"l",11
"107",92969500000,"k",5
"108",92969500000,"l",2
"109",95796800000,"k",7
"110",95796800000,"l",8
"111",101055000000,"k",15
"112",101055000000,"l",7
"113",101141000000,"k",14
"114",101141000000,"l",9
"115",112861000000,"k",14
"116",112861000000,"l",11
"117",120598000000,"k",4
"118",120598000000,"l",4
"119",124242000000,"k",3
"120",124242000000,"l",3
"121",128003000000,"k",13
"122",128003000000,"l",8
"123",141206000000,"k",3
"124",141206000000,"l",2
"125",142986000000,"k",10
"126",142986000000,"l",7
"127",143071000000,"k",12
"128",143071000000,"l",6
"129",145444000000,"k",13
"130",145444000000,"l",7
"131",159839000000,"k",17
"132",159839000000,"l",9
"133",165229000000,"k",14
"134",165229000000,"l",7
"135",167141000000,"k",0
"136",167141000000,"l",0
"137",168126000000,"k",10
"138",168126000000,"l",6
"139",168539000000,"k",1
"140",168539000000,"l",6
"141",172464000000,"k",13
"142",172464000000,"l",9
"143",177881000000,"k",15
"144",177881000000,"l",9
"145",194272000000,"k",32
"146",194272000000,"l",17
"147",314507000000,"k",7
"148",314507000000,"l",3
"149",351792000000,"k",7
"150",351792000000,"l",5
"151",362638000000,"k",3
"152",362638000000,"l",5
"153",413018000000,"k",7
"154",413018000000,"l",11
"155",417593000000,"k",5
"156",417593000000,"l",3
"157",462572000000,"k",3
"158",462572000000,"l",2
"159",534822000000,"k",12
"160",534822000000,"l",5
"161",752945000000,"k",12
"162",752945000000,"l",4
"163",782666000000,"k",7
"164",782666000000,"l",3
