AREA,orientation,n,originalPlace,year
61652100000,l,1,abakan,2009
61652100000,k,1,abakan,2010
61652100000,k,1,abakan,2007
75617300000,l,1,adler,2006
75617300000,k,1,adler,2008
75617300000,k,1,adler,2011
7784290000,k,1,adygeia,2013
101055000000,k,1,azov,2008
101055000000,l,1,azov,2012
101055000000,k,1,azov,2013
177881000000,k,1,akademgorodok,2009
177881000000,l,1,akademgorodok,2003
177881000000,k,1,akademgorodok,2008
45938100000,k,1,alabino,2012
7998460000,k,1,alagir,2008
7998460000,l,1,alagir,2004
7998460000,k,1,alagir,2004
194272000000,k,1,alapaevsk,2008
29138200000,l,1,aleksandrov,2005
29138200000,k,2,aleksandrov,2011
29138200000,l,2,aleksandrov,2009
29138200000,k,2,aleksandrov,2004
27156700000,l,1,alekseevka,2006
25714300000,l,2,aleksin,2003
25714300000,k,1,aleksin,2008
92969500000,k,1,altai,2008
92969500000,l,1,altai,2005
92969500000,k,2,altai,2007
92969500000,k,1,altaisk,2007
1009120000,l,1,altuf'evo,2003
782666000000,l,1,amursk,2006
709138000000,k,1,anadyr',2005
75617300000,k,1,anapa,2013
75617300000,l,1,anapa,2004
75617300000,k,1,anapa,2009
752945000000,k,1,angarsk,2008
95796800000,l,1,anzhero,2005
168126000000,l,1,anui,2006
168126000000,k,1,anui,2005
168126000000,l,1,anui,2003
45938100000,l,1,aprelevka,2010
45938100000,k,1,aprelevka,2003
45938100000,k,1,aprelevka,2005
1009120000,l,2,arbat,2011
1009120000,k,2,arbat,2010
1009120000,l,2,arbat,2008
1009120000,k,6,arbat,2006
61652100000,l,2,arbatov,2008
61652100000,k,2,arbatov,2006
61652100000,l,1,arbatov,2004
61652100000,k,2,arbatov,2007
19253200000,k,1,argun,2004
75617300000,l,1,armavir,2010
75617300000,k,1,armavir,2010
75617300000,l,1,armavir,2006
75617300000,k,1,armavir,2005
165229000000,k,1,arsen'ev,2013
165229000000,l,2,arsen'ev,2006
165229000000,k,2,arsen'ev,2008
307619000000,k,4,arkhangel'sk,2011
307619000000,l,1,arkhangel'sk,2003
307619000000,k,2,arkhangel'sk,2009
14278500000,l,1,arkhyz,2005
14278500000,k,1,arkhyz,2009
17090600,k,2,askol'd,2008
17090600,l,2,askol'd,2012
50589800000,l,1,astrakhan',2012
50589800000,k,2,astrakhan',2007
50589800000,l,2,astrakhan',2005
50589800000,k,1,astrakhan',2009
4496400000,l,1,achinsk,2013
4496400000,k,1,achinsk,2008
88634600000,l,1,asha,2004
88634600000,k,1,asha,2012
351792000000,l,2,babushkin,2003
351792000000,k,2,babushkin,2012
351792000000,k,2,babushkin,2006
52206800000,k,1,bagrationi,2008
752945000000,k,1,baikal'sk,2008
76790200000,k,1,balakhna,2006
