id,count,name,area,score
1,4,Cherkasy,Cherkaska oblast,1.7
2,0,Chernihiv,Chernihivska oblast,14.8
3,1,Chernivtsi,Chernivetska oblast,5.4
4,1,Crimea,Crimea,41.0
5,0,Dnipropetrovs'k,Dnipropetrovska oblast,13.8
6,1,Donets'k,Donetska oblast,33.2
7,5,Ivano-Frankivs'k,Ivano-Frankivska oblast,0.0
8,1,Kharkiv,Kharkivska oblast,15.1
9,0,Kherson,Khersonska oblast,4.2
10,3,Khmel'nyts'kyy,Khmelnytska oblast,0.0
11,5,Kiev City,Kyiv city,5.3
12,3,Kiev,Kyivska oblast,6.4
13,1,Kirovohrad,Kirovohradska oblast,8.3
14,12,L'viv,Lvivska oblast,0.0
15,0,Luhans'k,Luhanska oblast,24.1
16,0,Mykolayiv,Mykolaivska oblast,3.7
17,0,Odessa,Odeska oblast,24.0
18,1,Poltava,Poltavska oblast,4.3
19,3,Rivne,Rivnenska oblast,0.0
20,0,Sevastopol',,
21,0,Sumy,Sumska oblast,1.8
22,4,Ternopil',Ternopilska oblast,0.0
23,0,Transcarpathia,Zakarpatska oblast,2.0
24,2,Vinnytsya,Vinnytska oblast,2.7
25,4,Volyn,Volynska oblast,0.0
26,1,Zaporizhzhya,Zaporizhska oblast,16.7
27,1,Zhytomyr,Zhytomerska oblast,5.2

























